combined_text,sentiment,overall,verified,vote,style_Size,style_Color,textLen,wordCount,is_outlier,clean_vader,clean_swn,vader_score,vader_pred,swn_score,swn_prediction
Five Stars Love this product.  Great fit.,Positive,5.0,True,,9.5 B(M) US,Cool Grey/Pure Platinum/White/Volt,41,7,False,Five Stars Love this product. Great fit.,"['five', 'star', 'love', 'product', 'great', 'fit']",0.8957,Positive,1.125,Positive
"Great shoes I bought a wide size of these at a local store and they are amazing!  Soft, comfy, with moderate support.  Not a cloud to walk on, but not minimalist.  The wide size is perfect for my wide feet with high arches.  The shoe tends to run about a half size long though, especially for Nike.  I am working on getting in shape, and these shoes feel good all day... No rubbing on my big toe joint or pinkie toe or heel.  Very pleased.",Positive,5.0,False,,9.5 B(M) US,Wolf Grey/Platinum/White/Crimson,439,85,False,"Great shoes I bought a wide size of these at a local store and they are amazing! Soft, comfy, with moderate support. Not a cloud to walk on, but not minimalist. The wide size is perfect for my wide feet with high arches. The shoe tends to run about a half size long though, especially for Nike. I am working on getting in shape, and these shoes feel good all day... No rubbing on my big toe joint or pinkie toe or heel. Very pleased.","['great', 'shoe', 'bought', 'wide', 'size', 'local', 'store', 'amazing', 'soft', 'comfy', 'moderate', 'support', 'cloud', 'walk', 'minimalist', 'wide', 'size', 'perfect', 'wide', 'foot', 'high', 'arch', 'shoe', 'tends', 'run', 'half', 'size', 'long', 'though', 'especially', 'nike', 'working', 'getting', 'shape', 'shoe', 'feel', 'good', 'day', 'rubbing', 'big', 'toe', 'joint', 'pinkie', 'toe', 'heel', 'pleased']",0.9551,Positive,0.875,Positive
So Perf. Perf.,Positive,5.0,True,,8 B(M) US,Black/White/Anthracite/Stealth,14,3,False,So Perf. Perf.,"['perf', 'perf']",0.0,Neutral,0.0,Neutral
Great comfort! A little more cushion than the Powerstep Protech but the arch is maybe just a little lower. We love both styles. Excellent for plantar fasciitis and neuromas.,Positive,5.0,True,,,,173,29,False,Great comfort! A little more cushion than the Powerstep Protech but the arch is maybe just a little lower. We love both styles. Excellent for plantar fasciitis and neuromas.,"['great', 'comfort', 'little', 'cushion', 'powerstep', 'protech', 'arch', 'maybe', 'little', 'lower', 'love', 'style', 'excellent', 'plantar', 'fasciitis', 'neuroma']",0.9285,Positive,0.125,Positive
"Just wasn't what i was looking for I got the impression it's cushiony and comfy by reading the reviews on this product, when i tried it on it was a much firmer than my other work shoes, i'm standing all day and need enough support and comfort, this isn't the right product for that.
So i had to return it, but i would assume it would work fine for training.

It looks decent and clean. and seems sturdy.  just not the right thing for me.
I was refunded instantly upon returning so.. credit for that.",Neutral,3.0,True,,9.5 B(M) US,Black/White/Anthracite/Stealth,499,95,True,"Just wasn't what i was looking for I got the impression it's cushiony and comfy by reading the reviews on this product, when i tried it on it was a much firmer than my other work shoes, i'm standing all day and need enough support and comfort, this isn't the right product for that. So i had to return it, but i would assume it would work fine for training. It looks decent and clean. and seems sturdy. just not the right thing for me. I was refunded instantly upon returning so.. credit for that.","['wasnt', 'looking', 'got', 'impression', 'cushiony', 'comfy', 'reading', 'review', 'product', 'tried', 'much', 'firmer', 'work', 'shoe', 'im', 'standing', 'day', 'need', 'enough', 'support', 'comfort', 'isnt', 'right', 'product', 'return', 'would', 'assume', 'would', 'work', 'fine', 'training', 'look', 'decent', 'clean', 'seems', 'sturdy', 'right', 'thing', 'refunded', 'instantly', 'upon', 'returning', 'credit']",0.9042,Positive,1.125,Positive
"Satisfied Size 8, but purchased 8.5 for a more comfortable feel, considering shrinkage as a result of perspiration.",Positive,5.0,True,,8.5 B(M) US,Cool Grey/Pure Platinum/White/Volt,115,18,False,"Satisfied Size 8, but purchased 8.5 for a more comfortable feel, considering shrinkage as a result of perspiration.","['satisfied', 'size', '8', 'purchased', '85', 'comfortable', 'feel', 'considering', 'shrinkage', 'result', 'perspiration']",0.7776,Positive,-0.375,Negative
Nike always makes a good shoe. Nike always makes a good shoe ..abit rough breaking them in but after 9 hours on my feet anyone's feet would hurt abit,Positive,4.0,True,,8.5 B(M) US,Black/Green Glow-blue Glow-white,149,29,False,Nike always makes a good shoe. Nike always makes a good shoe ..abit rough breaking them in but after 9 hours on my feet anyone's feet would hurt abit,"['nike', 'always', 'make', 'good', 'shoe', 'nike', 'always', 'make', 'good', 'shoe', 'abit', 'rough', 'breaking', '9', 'hour', 'foot', 'anyones', 'foot', 'would', 'hurt', 'abit']",-0.4019,Negative,0.75,Positive
Two Stars They run big and are super uncomfortable and the soles squeak. They don't breathe at all.,Negative,2.0,True,,9 B(M) US,Black/White/Anthracite/Stealth,99,18,False,Two Stars They run big and are super uncomfortable and the soles squeak. They don't breathe at all.,"['two', 'star', 'run', 'big', 'super', 'uncomfortable', 'sol', 'squeak', 'dont', 'breathe']",0.3182,Positive,-0.625,Negative
Good shoe Serves intended purpose,Positive,4.0,True,,10 B(M) US,Wolf Grey/Platinum/White/Crimson,33,5,False,Good shoe Serves intended purpose,"['good', 'shoe', 'serf', 'intended', 'purpose']",0.4404,Positive,0.75,Positive
"Classically comfortable and durable Love these shoes. I've been buying Nikes for years now. I bought this pair for work and everyday wear and another pair for working out and active wear. They also last a long time in my opinion, especially if you take care of them.",Positive,5.0,True,,9 B(M) US,Black/White/Anthracite/Stealth,266,48,False,"Classically comfortable and durable Love these shoes. I've been buying Nikes for years now. I bought this pair for work and everyday wear and another pair for working out and active wear. They also last a long time in my opinion, especially if you take care of them.","['classically', 'comfortable', 'durable', 'love', 'shoe', 'ive', 'buying', 'nike', 'year', 'bought', 'pair', 'work', 'everyday', 'wear', 'another', 'pair', 'working', 'active', 'wear', 'also', 'last', 'long', 'time', 'opinion', 'especially', 'take', 'care']",0.9246,Positive,-1.0,Negative
Five Stars EXCELLENT,Positive,5.0,True,,8.5 B(M) US,Black/White/Anthracite/Stealth,20,3,False,Five Stars EXCELLENT,"['five', 'star', 'excellent']",0.6633,Positive,0.0,Neutral
Great!!! Very high! Superrrr thigh high. Im 54 and it easily reaches 3/4 up my thigh!!,Positive,5.0,True,,One Size,Red/White/Blue,86,16,False,Great!!! Very high! Superrrr thigh high. Im 54 and it easily reaches 3/4 up my thigh!!,"['great', 'high', 'superrrr', 'thigh', 'high', 'im', '54', 'easily', 'reach', '34', 'thigh']",0.8346,Positive,0.0,Neutral
Super cute and on sale!! Perfect fit! Brand new in new box completely perfect condition and on sale!!! Awesome! Highly reccomend! Super cute shoes.,Positive,5.0,True,,6.5 B(M) US,Black/White/Anthracite/Stealth,147,24,False,Super cute and on sale!! Perfect fit! Brand new in new box completely perfect condition and on sale!!! Awesome! Highly reccomend! Super cute shoes.,"['super', 'cute', 'sale', 'perfect', 'fit', 'brand', 'new', 'new', 'box', 'completely', 'perfect', 'condition', 'sale', 'awesome', 'highly', 'reccomend', 'super', 'cute', 'shoe']",0.9846,Positive,4.625,Positive
perfect Great! Super comfy and cute! No issues and fit perfect!,Positive,5.0,True,,10 B(M) US,Hyper Jade/Mtlc Silver/Hyper Turq,63,11,False,perfect Great! Super comfy and cute! No issues and fit perfect!,"['perfect', 'great', 'super', 'comfy', 'cute', 'issue', 'fit', 'perfect']",0.9665,Positive,1.25,Positive
Their Cute and Pink They were a gift  to my daughter she loved them,Positive,5.0,True,,7.5 B(M) US,Wolf Grey/Black-pink Blast/White,67,14,False,Their Cute and Pink They were a gift to my daughter she loved them,"['cute', 'pink', 'gift', 'daughter', 'loved']",0.8689,Positive,0.75,Positive
Glad I read the reviews and ordered a half size ... Glad I read the reviews and ordered a half size too big. These are light weight. I worked out in them last night and had a great work out. They are very comfortable. I would recommend these to anyone. I am a Beach Body Coach and these are now my new favorite shoes to work out in. I feel like I am walking in slippers when I wear these shoes. They are so comfortable. I LOVE them so much. I never buy myself anything nice and for Christmas got an Amazon gift card and used it to buy myself these sneakers and they are so awesome. I really do love them and have been telling all my friends about them. GET THESE SHOES!,Positive,5.0,True,2.0,9.5 B(M) US,Black/White/Anthracite/Stealth,669,134,True,Glad I read the reviews and ordered a half size ... Glad I read the reviews and ordered a half size too big. These are light weight. I worked out in them last night and had a great work out. They are very comfortable. I would recommend these to anyone. I am a Beach Body Coach and these are now my new favorite shoes to work out in. I feel like I am walking in slippers when I wear these shoes. They are so comfortable. I LOVE them so much. I never buy myself anything nice and for Christmas got an Amazon gift card and used it to buy myself these sneakers and they are so awesome. I really do love them and have been telling all my friends about them. GET THESE SHOES!,"['glad', 'read', 'review', 'ordered', 'half', 'size', 'glad', 'read', 'review', 'ordered', 'half', 'size', 'big', 'light', 'weight', 'worked', 'last', 'night', 'great', 'work', 'comfortable', 'would', 'recommend', 'anyone', 'beach', 'body', 'coach', 'new', 'favorite', 'shoe', 'work', 'feel', 'like', 'walking', 'slipper', 'wear', 'shoe', 'comfortable', 'love', 'much', 'never', 'buy', 'anything', 'nice', 'christmas', 'got', 'amazon', 'gift', 'card', 'used', 'buy', 'sneaker', 'awesome', 'really', 'love', 'telling', 'friend', 'get', 'shoe']",0.9945,Positive,-0.25,Negative
"Squeaky soles I wore these shoe one time, from the airport in Omaha, NE to the airport in Phoenix, AZ. When I arrived in Phoenix, the left shoe/sole started squeaking and won't stop. I want to return for a refund. Need instructions for returning as no paperwork was in my package when it arrived.",Negative,1.0,True,,8.5 B(M) US,Black/White/Anthracite/Stealth,296,54,False,"Squeaky soles I wore these shoe one time, from the airport in Omaha, NE to the airport in Phoenix, AZ. When I arrived in Phoenix, the left shoe/sole started squeaking and won't stop. I want to return for a refund. Need instructions for returning as no paperwork was in my package when it arrived.","['squeaky', 'sol', 'wore', 'shoe', 'one', 'time', 'airport', 'omaha', 'ne', 'airport', 'phoenix', 'az', 'arrived', 'phoenix', 'left', 'shoesole', 'started', 'squeaking', 'wont', 'stop', 'want', 'return', 'refund', 'need', 'instruction', 'returning', 'paperwork', 'package', 'arrived']",-0.1366,Negative,0.0,Neutral
Three Stars The material is real then hope they don't fall apart . to expensive for what you get.,Neutral,3.0,True,,8 B(M) US,Blue Tint/Green Glow/Hasta/White,97,19,False,Three Stars The material is real then hope they don't fall apart . to expensive for what you get.,"['three', 'star', 'material', 'real', 'hope', 'dont', 'fall', 'apart', 'expensive', 'get']",0.4404,Positive,0.625,Positive
Nice shoe Love my new Nike's.  It's been years since I've been able to wear them (sizing changed years ago and I just couldn't wear them any more) but now the new styles and sizing are perfect.  Lightweight shoe with tons of style.  The Fog color is just what I was looking for...not black and not neon!  I wore them to participate in Relay for Life (24 hour walk) and they held up great!,Positive,5.0,True,5.0,9.5 B(M) US,Ocean Fog/Blue Grey/Mango,388,74,False,Nice shoe Love my new Nike's. It's been years since I've been able to wear them (sizing changed years ago and I just couldn't wear them any more) but now the new styles and sizing are perfect. Lightweight shoe with tons of style. The Fog color is just what I was looking for...not black and not neon! I wore them to participate in Relay for Life (24 hour walk) and they held up great!,"['nice', 'shoe', 'love', 'new', 'nike', 'year', 'since', 'ive', 'able', 'wear', 'sizing', 'changed', 'year', 'ago', 'couldnt', 'wear', 'new', 'style', 'sizing', 'perfect', 'lightweight', 'shoe', 'ton', 'style', 'fog', 'color', 'looking', 'fornot', 'black', 'neon', 'wore', 'participate', 'relay', 'life', '24', 'hour', 'walk', 'held', 'great']",0.95,Positive,2.125,Positive
Four Stars I only give four stars because the pants have no pockets.,Positive,4.0,True,,Medium,Black,68,13,False,Four Stars I only give four stars because the pants have no pockets.,"['four', 'star', 'give', 'four', 'star', 'pant', 'pocket']",-0.296,Negative,-0.125,Negative
Five Stars Nice shoes,Positive,5.0,True,,6.5 B(M) US,Black/White/Anthracite/Stealth,21,4,False,Five Stars Nice shoes,"['five', 'star', 'nice', 'shoe']",0.4215,Positive,0.0,Neutral
One Star Waaaay too BIG,Negative,1.0,True,,X-Large,Charcoal Heather,23,5,False,One Star Waaaay too BIG,"['one', 'star', 'waaaay', 'big']",0.0,Neutral,0.125,Positive
Size problem Shoe was somewhat large,Positive,4.0,True,,8.5 B(M) US,Wolf Grey/Black-pink Blast/White,36,6,False,Size problem Shoe was somewhat large,"['size', 'problem', 'shoe', 'somewhat', 'large']",-0.4019,Negative,-0.75,Negative
"Its not as comfortable as I was expecting This shoe is JUST OK. Its not as comfortable as I was expecting, compared to my last pair of NIKE shoes. I hope they hold up.",Neutral,3.0,True,,9 B(M) US,Blue Tint/Green Glow/Hasta/White,167,34,False,"Its not as comfortable as I was expecting This shoe is JUST OK. Its not as comfortable as I was expecting, compared to my last pair of NIKE shoes. I hope they hold up.","['comfortable', 'expecting', 'shoe', 'ok', 'comfortable', 'expecting', 'compared', 'last', 'pair', 'nike', 'shoe', 'hope', 'hold']",-0.362,Negative,-1.75,Negative
"Amazing The shoes are amazing,very comfortable and fit as expected highly recommended. :)",Positive,5.0,True,,7.5 B(M) US,Black/White/Anthracite/Stealth,89,13,False,"Amazing The shoes are amazing,very comfortable and fit as expected highly recommended. :)","['amazing', 'shoe', 'amazingvery', 'comfortable', 'fit', 'expected', 'highly', 'recommended']",0.9322,Positive,-0.875,Negative
One Star Should have listened to other reviews. The elastics does not hold up.,Negative,1.0,True,,One Size,Black/White,78,14,False,One Star Should have listened to other reviews. The elastics does not hold up.,"['one', 'star', 'listened', 'review', 'elastic', 'hold']",0.0,Neutral,0.5,Positive
Five Stars Excellent,Positive,5.0,True,,7 B(M) US,Black/White/Anthracite/Stealth,20,3,False,Five Stars Excellent,"['five', 'star', 'excellent']",0.5719,Positive,0.0,Neutral
Four Stars Right one is slightly tight.. hope it will stretch out.. !!,Positive,4.0,True,,10 B(M) US,Black/White/Anthracite/Stealth,70,13,False,Four Stars Right one is slightly tight.. hope it will stretch out.. !!,"['four', 'star', 'right', 'one', 'slightly', 'tight', 'hope', 'stretch']",0.4949,Positive,0.375,Positive
Five Stars Super comfy!,Positive,5.0,True,,9 B(M) US,Black,23,4,False,Five Stars Super comfy!,"['five', 'star', 'super', 'comfy']",0.636,Positive,0.0,Neutral
Five Stars i love these shoes.,Positive,5.0,True,,8 B(M) US,Energy/Mtlc Silver/Black,30,6,False,Five Stars i love these shoes.,"['five', 'star', 'love', 'shoe']",0.6369,Positive,0.625,Positive
"PERFECT Look better than the picture, very comfortable, great support.",Positive,5.0,True,,6.5 B(M) US,Black/White/Anthracite/Stealth,70,10,False,"PERFECT Look better than the picture, very comfortable, great support.","['perfect', 'look', 'better', 'picture', 'comfortable', 'great', 'support']",0.9599,Positive,0.625,Positive
"Tried one in the store and bought it online but ... Tried one in the store and bought it online but it was a different  kind of shoe . Too big , different fit !",Negative,2.0,True,2.0,10 B(M) US,Cool Grey/Pure Platinum/White/Volt,160,35,False,"Tried one in the store and bought it online but ... Tried one in the store and bought it online but it was a different kind of shoe . Too big , different fit !","['tried', 'one', 'store', 'bought', 'online', 'tried', 'one', 'store', 'bought', 'online', 'different', 'kind', 'shoe', 'big', 'different', 'fit']",0.5487,Positive,2.125,Positive
Shoes looked great but too narrow for most feet Not a fan. Shoes looked great but too narrow for most feet.,Neutral,3.0,True,,9.5 B(M) US,Bright Mango/Crimson/White/Blue,107,21,False,Shoes looked great but too narrow for most feet Not a fan. Shoes looked great but too narrow for most feet.,"['shoe', 'looked', 'great', 'narrow', 'foot', 'fan', 'shoe', 'looked', 'great', 'narrow', 'foot']",0.7755,Positive,0.0,Neutral
"Comfortable Capris WOW!  I love these capris!  I ordered the deep teal and they are a very dark blue/teal (a much deeper prettier color than shown).  I received many compliments the first time I wore them to the gym.  They are super soft and comfortable from the leg all the way to the waist...COMFORTABLE.  They never slip down at the waist and give me full coverage (not see through at all). I am 5' 4"" and 159 pounds and I ordered a medium.  The size fit perfectly although that being said they are longer on me than the photo (probably my short legs) but came 2 inches above my ankle so just below my calf.  Given that I have weight to loose these are very flattering on as well.  They are also a nice stretchy fabric (thus the comfort) and cool.  We are in the high 90's and 100 degree summer weather and I am cool!  Purchase these as you won't be disappointed especially at this price.  I like these better than my Lululemon and Athleta capris!!!  I am back to purchase more!",Positive,5.0,True,,Medium,Deep Teal Space Dye,981,183,True,"Comfortable Capris WOW! I love these capris! I ordered the deep teal and they are a very dark blue/teal (a much deeper prettier color than shown). I received many compliments the first time I wore them to the gym. They are super soft and comfortable from the leg all the way to the waist...COMFORTABLE. They never slip down at the waist and give me full coverage (not see through at all). I am 5' 4"" and 159 pounds and I ordered a medium. The size fit perfectly although that being said they are longer on me than the photo (probably my short legs) but came 2 inches above my ankle so just below my calf. Given that I have weight to loose these are very flattering on as well. They are also a nice stretchy fabric (thus the comfort) and cool. We are in the high 90's and 100 degree summer weather and I am cool! Purchase these as you won't be disappointed especially at this price. I like these better than my Lululemon and Athleta capris!!! I am back to purchase more!","['comfortable', 'capri', 'wow', 'love', 'capri', 'ordered', 'deep', 'teal', 'dark', 'blueteal', 'much', 'deeper', 'prettier', 'color', 'shown', 'received', 'many', 'compliment', 'first', 'time', 'wore', 'gym', 'super', 'soft', 'comfortable', 'leg', 'way', 'waistcomfortable', 'never', 'slip', 'waist', 'give', 'full', 'coverage', 'see', '5', '4', '159', 'pound', 'ordered', 'medium', 'size', 'fit', 'perfectly', 'although', 'said', 'longer', 'photo', 'probably', 'short', 'leg', 'came', '2', 'inch', 'ankle', 'calf', 'given', 'weight', 'loose', 'flattering', 'well', 'also', 'nice', 'stretchy', 'fabric', 'thus', 'comfort', 'cool', 'high', '90', '100', 'degree', 'summer', 'weather', 'cool', 'purchase', 'wont', 'disappointed', 'especially', 'price', 'like', 'better', 'lululemon', 'athleta', 'capri', 'back', 'purchase']",0.9922,Positive,0.25,Positive
Very comfortable shoes. Love Size 5. Very comfortable shoes. Love!,Positive,5.0,True,,5 B(M) US,Black/White/Anthracite/Stealth,66,10,False,Very comfortable shoes. Love Size 5. Very comfortable shoes. Love!,"['comfortable', 'shoe', 'love', 'size', '5', 'comfortable', 'shoe', 'love']",0.9546,Positive,-0.625,Negative
"Perfect for trails My favorite running shoes!  The wall of the shoe is very thin, which makes them very comfortable to wear if your feet swell as you run.  I would not recommend for use on concrete or a treadmill, as there isn't very much impact absorption, but they are perfect for trail running!",Positive,5.0,True,,7 B(M) US,Black/White/Anthracite/Stealth,297,54,False,"Perfect for trails My favorite running shoes! The wall of the shoe is very thin, which makes them very comfortable to wear if your feet swell as you run. I would not recommend for use on concrete or a treadmill, as there isn't very much impact absorption, but they are perfect for trail running!","['perfect', 'trail', 'favorite', 'running', 'shoe', 'wall', 'shoe', 'thin', 'make', 'comfortable', 'wear', 'foot', 'swell', 'run', 'would', 'recommend', 'use', 'concrete', 'treadmill', 'isnt', 'much', 'impact', 'absorption', 'perfect', 'trail', 'running']",0.894,Positive,0.875,Positive
Five Stars Love the color!,Positive,5.0,True,,8.5 B(M) US,Hyper Jade/Mtlc Silver/Hyper Turq,26,5,False,Five Stars Love the color!,"['five', 'star', 'love', 'color']",0.6696,Positive,0.625,Positive
"Good shoes, tolerable price. My son likes these, and this is the 2nd pair he's worn.",Positive,5.0,True,,13 D(M) US,Cool Grey/Team Orange/White/Platinum,84,16,False,"Good shoes, tolerable price. My son likes these, and this is the 2nd pair he's worn.","['good', 'shoe', 'tolerable', 'price', 'son', 'like', '2nd', 'pair', 'he', 'worn']",0.5423,Positive,0.75,Positive
"Unnacceptable. Zero support These shoes look really great. However, slightly loose. The problems with lack of support arose when I exercised. It feels like there is little to no support in them. Possibly this is a shoe more geared for an office environment or short walking distances.",Neutral,3.0,True,2.0,8.5 B(M) US,Black/White/Anthracite/Stealth,284,47,False,"Unnacceptable. Zero support These shoes look really great. However, slightly loose. The problems with lack of support arose when I exercised. It feels like there is little to no support in them. Possibly this is a shoe more geared for an office environment or short walking distances.","['unnacceptable', 'zero', 'support', 'shoe', 'look', 'really', 'great', 'however', 'slightly', 'loose', 'problem', 'lack', 'support', 'arose', 'exercised', 'feel', 'like', 'little', 'support', 'possibly', 'shoe', 'geared', 'office', 'environment', 'short', 'walking', 'distance']",0.6459,Positive,-0.625,Negative
Returned Nice pants but too small for a medium. Returned it.,Negative,2.0,True,,Medium,Navy,60,11,False,Returned Nice pants but too small for a medium. Returned it.,"['returned', 'nice', 'pant', 'small', 'medium', 'returned']",0.2263,Positive,0.5,Positive
I love the shoes and the description and photos were accurate I love the shoe and it fit as expected the photos and description are accurate if you're looking for a shoe that has more cushion or support try a different style but as far as wanting a lightweight and breathable shoe this is it. I am very satisfied with this purchase,Positive,5.0,True,,8.5 B(M) US,Black/White/Anthracite/Stealth,331,62,False,I love the shoes and the description and photos were accurate I love the shoe and it fit as expected the photos and description are accurate if you're looking for a shoe that has more cushion or support try a different style but as far as wanting a lightweight and breathable shoe this is it. I am very satisfied with this purchase,"['love', 'shoe', 'description', 'photo', 'accurate', 'love', 'shoe', 'fit', 'expected', 'photo', 'description', 'accurate', 'youre', 'looking', 'shoe', 'cushion', 'support', 'try', 'different', 'style', 'far', 'wanting', 'lightweight', 'breathable', 'shoe', 'satisfied', 'purchase']",0.9016,Positive,2.0,Positive
Lightweight yet supportive Most comfortable training shoes I've worn in a long time.,Positive,5.0,True,,9.5 B(M) US,Black/White/Anthracite/Stealth,84,13,False,Lightweight yet supportive Most comfortable training shoes I've worn in a long time.,"['lightweight', 'yet', 'supportive', 'comfortable', 'training', 'shoe', 'ive', 'worn', 'long', 'time']",0.5563,Positive,-0.25,Negative
staple sneakers second pair. Comfortable and great for people with bunion issues or previous surgeries.  Sole wears great,Positive,5.0,True,,9 B(M) US,Black/White/Anthracite/Stealth,121,18,False,staple sneakers second pair. Comfortable and great for people with bunion issues or previous surgeries. Sole wears great,"['staple', 'sneaker', 'second', 'pair', 'comfortable', 'great', 'people', 'bunion', 'issue', 'previous', 'surgery', 'sole', 'wear', 'great']",0.91,Positive,-0.75,Negative
Love these shoes Love these shoes!! They are true to size and very comfortable!! This is my second pair - I wore out the first pair!! Good arch support - I have a high arch!!,Positive,5.0,True,,8 B(M) US,Black/White/Anthracite/Stealth,174,35,False,Love these shoes Love these shoes!! They are true to size and very comfortable!! This is my second pair - I wore out the first pair!! Good arch support - I have a high arch!!,"['love', 'shoe', 'love', 'shoe', 'true', 'size', 'comfortable', 'second', 'pair', 'wore', 'first', 'pair', 'good', 'arch', 'support', 'high', 'arch']",0.9704,Positive,0.75,Positive
4/5 The lines don't really show up unless there is a bright light on them. But other than that they are perfect. They are very true to size and are comfortable the first time you put them on.,Positive,4.0,True,,9.5 B(M) US,Black/Red Bronze/White,191,38,False,4/5 The lines don't really show up unless there is a bright light on them. But other than that they are perfect. They are very true to size and are comfortable the first time you put them on.,"['45', 'line', 'dont', 'really', 'show', 'unless', 'bright', 'light', 'perfect', 'true', 'size', 'comfortable', 'first', 'time', 'put']",0.9484,Positive,-0.375,Negative
Lightweight I always order a 1/2 size up in workout shoes.,Positive,5.0,True,,9.5 B(M) US,Black/White/Anthracite/Stealth,58,11,False,Lightweight I always order a 1/2 size up in workout shoes.,"['lightweight', 'always', 'order', '12', 'size', 'workout', 'shoe']",0.0,Neutral,-0.25,Negative
Just what I wanted! Perfect!,Positive,5.0,True,,8 B(M) US,Black/White/Anthracite/Stealth,28,5,False,Just what I wanted! Perfect!,"['wanted', 'perfect']",0.6467,Positive,0.25,Positive
"I loved these shoes I loved these shoes...that is until after about an hour of wear, the green inserts on the sole of the right show began falling off. The wear was in my home, on smooth floors. I can only assume they were defective.",Negative,1.0,True,,7.5 B(M) US,Cool Grey/Volt/Pure Platinum,233,45,False,"I loved these shoes I loved these shoes...that is until after about an hour of wear, the green inserts on the sole of the right show began falling off. The wear was in my home, on smooth floors. I can only assume they were defective.","['loved', 'shoe', 'loved', 'shoesthat', 'hour', 'wear', 'green', 'insert', 'sole', 'right', 'show', 'began', 'falling', 'wear', 'home', 'smooth', 'floor', 'assume', 'defective']",0.6486,Positive,1.125,Positive
Five Stars Perfect fit!,Positive,5.0,True,,8.5 M US,Green Glow/Seaweed - Hasta - White,23,4,False,Five Stars Perfect fit!,"['five', 'star', 'perfect', 'fit']",0.7574,Positive,-0.5,Negative
Seem to Run Big I had to return the first pair and buy a 1/2 size smaller.  First time I've had to buy smaller for Nike.,Positive,4.0,True,,8.5 B(M) US,Ocean Fog/Blue Grey/Mango,120,26,False,Seem to Run Big I had to return the first pair and buy a 1/2 size smaller. First time I've had to buy smaller for Nike.,"['seem', 'run', 'big', 'return', 'first', 'pair', 'buy', '12', 'size', 'smaller', 'first', 'time', 'ive', 'buy', 'smaller', 'nike']",0.0,Neutral,-0.25,Negative
"Very Good For Everyday I love these shoes and have worn them for a long time. That are comfy, thinner on the top & sole and are very cute!",Positive,5.0,False,,8 B(M) US,Black/White/Anthracite/Stealth,138,29,False,"Very Good For Everyday I love these shoes and have worn them for a long time. That are comfy, thinner on the top & sole and are very cute!","['good', 'everyday', 'love', 'shoe', 'worn', 'long', 'time', 'comfy', 'thinner', 'top', 'sole', 'cute']",0.8904,Positive,1.375,Positive
Five Stars excelente,Positive,5.0,True,,10.5 D(M) US,Cool Grey/Team Orange/White/Platinum,20,3,False,Five Stars excelente,"['five', 'star', 'excelente']",0.0,Neutral,0.0,Neutral
"Not sure why, but my mid section of my ... Not sure why, but my mid section of my foot starts to hurt using these shoes for a long day or a tough workout at the gym. I've owned other nike shoes of this line but that never happened to me.",Neutral,3.0,True,,6 B(M) US,Black/White-anthracite-stealth,237,51,False,"Not sure why, but my mid section of my ... Not sure why, but my mid section of my foot starts to hurt using these shoes for a long day or a tough workout at the gym. I've owned other nike shoes of this line but that never happened to me.","['sure', 'mid', 'section', 'sure', 'mid', 'section', 'foot', 'start', 'hurt', 'using', 'shoe', 'long', 'day', 'tough', 'workout', 'gym', 'ive', 'owned', 'nike', 'shoe', 'line', 'never', 'happened']",-0.8509,Negative,-2.0,Negative
These insoles help my heel feels much better. I would never wear a pair of athletic ... These insoles help my heels feel much better.  I would never wear a pair of athletic shoes with the original insoles.,Positive,5.0,True,,,,205,38,False,These insoles help my heel feels much better. I would never wear a pair of athletic ... These insoles help my heels feel much better. I would never wear a pair of athletic shoes with the original insoles.,"['insole', 'help', 'heel', 'feel', 'much', 'better', 'would', 'never', 'wear', 'pair', 'athletic', 'insole', 'help', 'heel', 'feel', 'much', 'better', 'would', 'never', 'wear', 'pair', 'athletic', 'shoe', 'original', 'insole']",0.91,Positive,0.75,Positive
Worth it. Picky daughter actually loves them.,Positive,5.0,True,,6.5 B(M) US,Black/White/Anthracite/Stealth,45,7,False,Worth it. Picky daughter actually loves them.,"['worth', 'picky', 'daughter', 'actually', 'love']",0.6808,Positive,1.125,Positive
Five Stars I love these shoes! Great arch support and perfect for cardio.,Positive,5.0,True,,8.5 B(M) US,Racer Blue/Obsidian/Blue Tint,73,13,False,Five Stars I love these shoes! Great arch support and perfect for cardio.,"['five', 'star', 'love', 'shoe', 'great', 'arch', 'support', 'perfect', 'cardio']",0.9432,Positive,0.75,Positive
"Cold wash or you'll be handing this down Size, colour and print all above average but does not wash great.",Positive,4.0,True,,Large / 14/16,Immergruen Black,106,20,False,"Cold wash or you'll be handing this down Size, colour and print all above average but does not wash great.","['cold', 'wash', 'youll', 'handing', 'size', 'colour', 'print', 'average', 'wash', 'great']",-0.6642,Negative,-1.0,Negative
